FirstName,LastName,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
Uriah,Bridges,20-Sep-19,,Production Technician I,Peter Oneill,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production       ,Finance & Accounting,7/10/1969,MA,Accounting,Female,34904,White,Widowed,Fully Meets,4,3427,14-01-2023,1,2,3,15-Jul-23,Leadership Development,Internal,Failed,South Marisa,Taylor Rodriguez,2,606.11
Paula,Small,11-Feb-23,,Production Technician I,Renee Mccormick,EW,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Aerial,30-08-1965,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3,3428,9/9/2022,2,1,5,12-Sep-22,Customer Service,External,Incomplete,Tammieville,Kelly Patterson DDS,4,673.02
Edward,Buck,10-Dec-18,,Area Sales Manager,Crystal Walker,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Sga,6/10/1991,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4,3429,27-05-2023,1,2,1,13-Aug-22,Leadership Development,External,Failed,East Roberthaven,Taylor Thomas,2,413.28
Michael,Riordan,21-Jun-21,,Area Sales Manager,Rebekah Wright,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Sales,Finance & Accounting,4/4/1998,ND,Clerk,Male,58782,Other,Single,Fully Meets,2,3430,16-06-2023,5,5,4,15-Dec-22,Project Management,External,Completed,Garzatown,Holly Elliott,3,663.78
Jasmine,Onque,29-Jun-19,,Area Sales Manager,Jason Kim,TNS,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,29-08-1969,FL,Laborer,Female,33174,Other,Married,Fully Meets,3,3431,25-11-2022,2,5,3,13-Jul-23,Technical Skills,External,Failed,Lake Meganville,Donald Martinez,5,399.03
Maruk,Fraval,17-Jan-20,,Area Sales Manager,Sheri Campos,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,3/4/1949,CT,Driver,Male,6050,Black,Married,Fully Meets,3,3432,12/12/2022,2,3,5,18-Apr-23,Project Management,Internal,Passed,Kingchester,Holly Sloan,2,820.33
Latia,Costa,6-Apr-22,3-Jul-23,Area Sales Manager,Jacob Braun,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General - Eng,1/7/1942,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4,3433,25-03-2023,1,5,2,6-Aug-22,Customer Service,External,Passed,Lancehaven,David Stewart,5,295.08
Sharlene,Terry,6-Nov-20,29-Jan-23,Area Sales Manager,Tracy Marquez,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Engineers,7/3/1957,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2,3434,21-04-2023,1,4,2,7-Oct-22,Leadership Development,Internal,Passed,Jeremyshire,Stephanie Garza,3,790.15
Jac,McKinzie,18-Aug-18,,Area Sales Manager,Sharon Becker,NEL,Active,Contract,Zone B,Part-Time,Unk,,Sales,Executive,15-05-1974,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3,3435,9/12/2022,4,3,3,19-Jul-23,Customer Service,Internal,Passed,West Randall,John Brown,3,798.4
Joseph,Martins,21-Jan-22,29-Jun-23,Area Sales Manager,George Jenkins,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Engineers,11/11/1949,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5,3436,30-07-2023,5,5,2,9-Apr-23,Leadership Development,Internal,Failed,Nicolebury,Megan Wilson,5,192.61
